,Region,District,EPA,Lat,Lon,Altitude,Gender,Literacy,Number_followers,Date_trained,Length,Farm_size,Sust_Ag_Activities,Types_Sust_Ag,Full_CA,Partial_CA,Agroforestry,Manure_making,Pit_planting,Sust_Other,Crops,Crops_Maize,Crops_Millet,Crops_Sorghum,Crops_Cassava,Crops_Sweet_Potato,Crops_European_Potato,Crops_Soya,Crops_Groundnuts,Crops_Beans,Crops_Pigeon_Pea,Crops_Cowpea,Crops_Sugarcane,Crops_Other,Vegetables,Fruit_trees,Livestock,Type_livestock,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats_Sheep,Livestock_Guinea_Fowl,Livestock_Pigs,Livestock_Other,Livestock_Rabbits,X_id
215,Central,Lilongwe,Mngwangwa,-13.81598667,33.638545,1162.3,Female,Secondary School,30,2016-05-16,1111,3,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Manure Making Pit Planting",1,0,0,1,1,0,Maize Sweet Potato Soya Groundnuts Beans Pigeon Peas Other,1,0,0,0,1,0,1,1,1,1,0,0,1,Yes,Yes,Yes,Chickens,0,1,0,0,0,0,0,0,39832947
216,Central,Lilongwe,Mngwangwa,-13.81583,33.63862,1167.4,Female,Primary School,30,2014-10-21,1684,2,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Manure Making Pit Planting",1,1,0,1,1,0,Maize Sweet Potato Soya Groundnuts Other,1,0,0,0,1,0,1,1,0,0,0,0,1,Yes,Yes,Yes,Goats/Sheep,0,0,0,1,0,0,0,0,39832950
217,Central,Lilongwe,Mngwangwa,-13.81589333,33.63880333,1167.3,Male,Secondary School,24,2015-09-26,1344,1,Yes,Manure Making Pit Planting,0,0,0,1,1,0,Maize Soya Groundnuts Beans Other,1,0,0,0,0,0,1,1,1,0,0,0,1,Yes,No,Yes,Cattle Goats/Sheep Chickens,1,1,0,1,0,0,0,0,39832956
218,Central,Lilongwe,Mngwangwa,-13.81603667,33.63859,1153.3,Female,Secondary School,15,2016-10-24,950,1.5,Yes,Manure Making Pit Planting,0,0,0,1,1,0,Maize Sweet Potato Soya Groundnuts Beans Other,1,0,0,0,1,0,1,1,1,0,0,0,1,Yes,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,39832958
219,Central,Lilongwe,Mngwangwa,-13.81602333,33.638345,1158.5,Female,Secondary School,15,2014-10-24,1681,4,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Manure Making Pit Planting",1,0,0,1,1,0,Maize Sweet Potato Soya Groundnuts Beans Other,1,0,0,0,1,0,1,1,1,0,0,0,1,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39832963
220,Central,Lilongwe,Mngwangwa,-13.815845,33.63882667,1172.5,Male,Primary School,30,2015-07-31,1401,1.5,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Manure Making Pit Planting",1,0,0,1,1,0,Maize Sweet Potato Soya Groundnuts Pigeon Peas Other,1,0,0,0,1,0,1,1,0,1,0,0,1,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39832983
221,Central,Lilongwe,Mngwangwa,-13.81573,33.63853,1161.6,Female,Secondary School,24,2014-10-24,1681,2,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Manure Making Pit Planting",1,0,0,1,1,0,Maize Sweet Potato Soya Groundnuts Beans Sugarcane Other,1,0,0,0,1,0,1,1,1,0,0,1,1,Yes,Yes,No,,NA,NA,NA,NA,NA,NA,NA,NA,39832987
222,Central,Lilongwe,Mngwangwa,-13.81567667,33.63839667,1158.7,Male,Secondary School,26,2015-07-31,1401,1.5,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Manure Making Pit Planting",1,1,0,1,1,0,Maize Soya Beans,1,0,0,0,0,0,1,0,1,0,0,0,0,Yes,No,Yes,Chickens,0,1,0,0,0,0,0,0,39832992
223,Central,Lilongwe,Mngwangwa,-13.81627833,33.63869667,1150.5,Female,Secondary School,30,2016-10-01,973,1.5,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Manure Making Pit Planting",1,0,0,1,1,0,Maize Sweet Potato Soya Groundnuts Beans Other,1,0,0,0,1,0,1,1,1,0,0,0,1,Yes,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,39833004
224,Central,Lilongwe,Mngwangwa,-13.81597333,33.6385,1159.2,Male,Secondary School,30,2016-05-17,1110,2,Yes,"Any of maximum cover, Minimum tillage, rotations/mixtures Manure Making Pit Planting",0,1,0,1,1,0,Maize Sweet Potato Soya Groundnuts Beans Sugarcane Other,1,0,0,0,1,0,1,1,1,0,0,1,1,No,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39833010
225,Central,Lilongwe,Mpingu,-14.00294167,33.60837833,1122,Female,Secondary School,10,2018-09-15,259,0.4,Yes,"Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",0,1,1,1,1,0,Maize Soya Groundnuts,1,0,0,0,0,0,1,1,0,0,0,0,0,Yes,No,Yes,Goats/Sheep Pigs Chickens,0,1,0,1,0,1,0,0,39833320
226,Central,Lilongwe,Mpingu,-14.010325,33.61363833,1113.2,Male,Primary School,NA,2015-09-02,1368,0.8,Yes,"Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",0,1,1,1,1,0,Maize Sweet Potato Soya Groundnuts Beans,1,0,0,0,1,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39833332
227,Central,Lilongwe,Mngwangwa,-13.75790167,33.62230833,1275.6,Male,Secondary School,24,2016-05-16,1111,1.2,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Agroforestry Manure Making Pit Planting",1,0,1,1,1,0,Maize Groundnuts Beans Other,1,0,0,0,0,0,0,1,1,0,0,0,1,Yes,No,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39833349
228,Central,Lilongwe,Mngwangwa,-13.75808,33.62235667,1335.1,Female,Secondary School,15,2014-09-15,1720,0.2,Yes,"Any of maximum cover, Minimum tillage, rotations/mixtures Manure Making Pit Planting",0,1,0,1,1,0,Maize Groundnuts Beans Other,1,0,0,0,0,0,0,1,1,0,0,0,1,Yes,No,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39833356
229,Central,Lilongwe,Mngwangwa,-13.75814,33.62249167,1330.2,Male,Secondary School,20,2016-05-16,1111,0.6,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Agroforestry Manure Making Pit Planting",1,0,1,1,1,0,Maize Soya Beans Other,1,0,0,0,0,0,1,0,1,0,0,0,1,Yes,Yes,Yes,Goats/Sheep,0,0,0,1,0,0,0,0,39833389
230,Central,Lilongwe,Mngwangwa,-13.75786167,33.62229,1347.6,Female,Primary School,6,2018-11-01,212,0.8,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Manure Making Pit Planting",1,0,0,1,1,0,Maize Soya Groundnuts Beans,1,0,0,0,0,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep,0,0,0,1,0,0,0,0,39833422
231,Central,Lilongwe,Mpingu,-13.98466333,33.59815833,1139.2,Female,Primary School,28,2018-08-06,299,0.4,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Groundnuts Beans,1,0,0,0,0,0,0,1,1,0,0,0,0,Yes,No,Yes,Goats/Sheep,0,0,0,1,0,0,0,0,39833427
232,Central,Lilongwe,Mngwangwa,-13.75785667,33.62234833,1351.7,Female,Primary School,25,2016-05-16,1111,1,Yes,"Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",0,1,1,1,1,0,Maize Soya Groundnuts Beans Other,1,0,0,0,0,0,1,1,1,0,0,0,1,Yes,Yes,Yes,Chickens,0,1,0,0,0,0,0,0,39833431
